1::Toy Story (1995)::An;imation|Children's|Comedy
2::Jumanji (1995)::Adve;nture|Children's|Fantasy
3::Grumpier Old Men (19;95)::Comedy|Romance
4::Waiting to Exhale (1;995)::Comedy|Drama
5::Father of the Bride;Part II (1995)::Comedy
6::Heat (1995)::Action|;Crime|Thriller
7::Sabrina (1995)::Come;dy|Romance
8::Tom and Huck (1995):;:Adventure|Children's
9::Sudden Death (1995):;:Action
10::GoldenEye (1995)::A;ction|Adventure|Thriller
11::American President,;The (1995)::Comedy|Drama|Romance
12::Dracula: Dead and L;oving It (1995)::Comedy|Horror
13::Balto (1995)::Anima;tion|Children's
14::Nixon (1995)::Drama;
15::Cutthroat Island (1;995)::Action|Adventure|Romance
16::Casino (1995)::Dram;a|Thriller
17::Sense and Sensibili;ty (1995)::Drama|Romance
18::Four Rooms (1995)::;Thriller
19::Ace Ventura: When N;ature Calls (1995)::Comedy
20::Money Train (1995):;:Action
21::Get Shorty (1995)::;Action|Comedy|Drama
22::Copycat (1995)::Cri;me|Drama|Thriller
23::Assassins (1995)::T;hriller
24::Powder (1995)::Dram;a|Sci-Fi
25::Leaving Las Vegas (;1995)::Drama|Romance
26::Othello (1995)::Dra;ma
27::Now and Then (1995);::Drama
28::Persuasion (1995)::;Romance
29::City of Lost Childr;en, The (1995)::Adventure|Sci-Fi
30::Shanghai Triad (Yao;a yao yao dao waipo qiao) (1995)::Drama
31::Dangerous Minds (19;95)::Drama
32::Twelve Monkeys (199;5)::Drama|Sci-Fi
33::Wings of Courage (1;995)::Adventure|Romance
34::Babe (1995)::Childr;en's|Comedy|Drama
35::Carrington (1995)::;Drama|Romance
36::Dead Man Walking (1;995)::Drama
37::Across the Sea of T;ime (1995)::Documentary
38::It Takes Two (1995);::Comedy
39::Clueless (1995)::Co;medy|Romance
40::Cry, the Beloved Co;untry (1995)::Drama
41::Richard III (1995):;:Drama|War
42::Dead Presidents (19;95)::Action|Crime|Drama
43::Restoration (1995):;:Drama
44::Mortal Kombat (1995;)::Action|Adventure
45::To Die For (1995)::;Comedy|Drama
46::How to Make an Amer;ican Quilt (1995)::Drama|Romance
47::Seven (Se7en) (1995;)::Crime|Thriller
48::Pocahontas (1995)::;Animation|Children's|Musical|Romance
49::When Night Is Falli;ng (1995)::Drama|Romance
50::Usual Suspects, The;(1995)::Crime|Thriller
51::Guardian Angel (199;4)::Action|Drama|Thriller
52::Mighty Aphrodite (1;995)::Comedy
53::Lamerica (1994)::Dr;ama
54::Big Green, The (199;5)::Children's|Comedy
55::Georgia (1995)::Dra;ma
56::Kids of the Round T;able (1995)::Adventure|Children's|Fantasy
57::Home for the Holida;ys (1995)::Drama
58::Postino, Il (The Po;stman) (1994)::Drama|Romance
59::Confessional, The (;Le Confessionnal) (1995)::Drama|Mystery
60::Indian in the Cupbo;ard, The (1995)::Adventure|Children's|Fantasy
61::Eye for an Eye (199;6)::Drama|Thriller
62::Mr. Holland's Opus;(1995)::Drama
63::Don't Be a Menace t;o South Central While Drinking Your Juice in the Hood (1996)::Comedy
64::Two if by Sea (1996;)::Comedy|Romance
65::Bio-Dome (1996)::Co;medy
66::Lawnmower Man 2: Be;yond Cyberspace (1996)::Sci-Fi|Thriller
67::Two Bits (1995)::Dr;ama
68::French Twist (Gazon;maudit) (1995)::Comedy|Romance
69::Friday (1995)::Come;dy
70::From Dusk Till Dawn;(1996)::Action|Comedy|Crime|Horror|Thriller
71::Fair Game (1995)::A;ction
72::Kicking and Screami;ng (1995)::Comedy|Drama
73::Misérables, Les (19;95)::Drama|Musical
74::Bed of Roses (1996);::Drama|Romance
75::Big Bully (1996)::C;omedy|Drama
76::Screamers (1995)::S;ci-Fi|Thriller
77::Nico Icon (1995)::D;ocumentary
78::Crossing Guard, The;(1995)::Drama
79::Juror, The (1996)::;Drama|Thriller
80::White Balloon, The;(Badkonake Sefid ) (1995)::Drama
81::Things to Do in Den;ver when You're Dead (1995)::Crime|Drama|Romance
82::Antonia's Line (Ant;onia) (1995)::Drama
83::Once Upon a Time...;When We Were Colored (1995)::Drama
84::Last Summer in the;Hamptons (1995)::Comedy|Drama
85::Angels and Insects;(1995)::Drama|Romance
86::White Squall (1996);::Adventure|Drama
87::Dunston Checks In (;1996)::Children's|Comedy
88::Black Sheep (1996):;:Comedy
89::Nick of Time (1995);::Action|Thriller
90::Journey of August K;ing, The (1995)::Drama
92::Mary Reilly (1996):;:Drama|Thriller
93::Vampire in Brooklyn;(1995)::Comedy|Romance
94::Beautiful Girls (19;96)::Drama
95::Broken Arrow (1996);::Action|Thriller
96::In the Bleak Midwin;ter (1995)::Comedy
97::Hate (Haine, La) (1;995)::Drama
98::Shopping (1994)::Ac;tion|Thriller
99::Heidi Fleiss: Holly;wood Madam (1995)::Documentary
100::City Hall (1996)::;Drama|Thriller
101::Bottle Rocket (199;6)::Comedy
102::Mr. Wrong (1996)::;Comedy
103::Unforgettable (199;6)::Thriller
104::Happy Gilmore (199;6)::Comedy
105::Bridges of Madison;County, The (1995)::Drama|Romance
106::Nobody Loves Me (K;einer liebt mich) (1994)::Comedy|Drama
107::Muppet Treasure Is;land (1996)::Adventure|Children's|Comedy|Musical
108::Catwalk (1995)::Do;cumentary
109::Headless Body in T;opless Bar (1995)::Comedy
110::Braveheart (1995):;:Action|Drama|War
111::Taxi Driver (1976);::Drama|Thriller
112::Rumble in the Bron;x (1995)::Action|Adventure|Crime
113::Before and After (;1996)::Drama|Mystery
114::Margaret's Museum;(1995)::Drama
115::Happiness Is in th;e Field (1995)::Comedy
116::Anne Frank Remembe;red (1995)::Documentary
117::Young Poisoner's H;andbook, The (1995)::Crime
118::If Lucy Fell (1996;)::Comedy|Romance
119::Steal Big, Steal L;ittle (1995)::Comedy
120::Race the Sun (1996;)::Drama
121::Boys of St. Vincen;t, The (1993)::Drama
122::Boomerang (1992)::;Comedy|Romance
123::Chungking Express;(1994)::Drama|Mystery|Romance
124::Star Maker, The (U;omo delle stelle, L') (1995)::Drama
125::Flirting With Disa;ster (1996)::Comedy
126::NeverEnding Story;III, The (1994)::Adventure|Children's|Fantasy
127::Silence of the Pal;ace, The (Saimt el Qusur) (1994)::Drama
128::Jupiter's Wife (19;94)::Documentary
129::Pie in the Sky (19;95)::Comedy|Romance
130::Angela (1995)::Dra;ma
131::Frankie Starlight;(1995)::Drama|Romance
132::Jade (1995)::Thril;ler
133::Nueba Yol (1995)::;Comedy|Drama
134::Sonic Outlaws (199;5)::Documentary
135::Down Periscope (19;96)::Comedy
136::From the Journals;of Jean Seberg (1995)::Documentary
137::Man of the Year (1;995)::Documentary
138::Neon Bible, The (1;995)::Drama
139::Target (1995)::Act;ion|Drama
140::Up Close and Perso;nal (1996)::Drama|Romance
141::Birdcage, The (199;6)::Comedy
142::Shadows (Cienie) (;1988)::Drama
143::Gospa (1995)::Dram;a
144::Brothers McMullen,;The (1995)::Comedy
145::Bad Boys (1995)::A;ction
146::Amazing Panda Adve;nture, The (1995)::Adventure|Children's
147::Basketball Diaries;, The (1995)::Drama
148::Awfully Big Advent;ure, An (1995)::Drama
149::Amateur (1994)::Cr;ime|Drama|Thriller
150::Apollo 13 (1995)::;Drama
151::Rob Roy (1995)::Dr;ama|Romance|War
152::Addiction, The (19;95)::Horror
153::Batman Forever (19;95)::Action|Adventure|Comedy|Crime
154::Belle de jour (196;7)::Drama
155::Beyond Rangoon (19;95)::Drama|War
156::Blue in the Face (;1995)::Comedy
157::Canadian Bacon (19;94)::Comedy|War
158::Casper (1995)::Adv;enture|Children's
159::Clockers (1995)::D;rama
160::Congo (1995)::Acti;on|Adventure|Mystery|Sci-Fi
161::Crimson Tide (1995;)::Drama|Thriller|War
162::Crumb (1994)::Docu;mentary
163::Desperado (1995)::;Action|Romance|Thriller
164::Devil in a Blue Dr;ess (1995)::Crime|Film-Noir|Mystery|Thriller
165::Die Hard: With a V;engeance (1995)::Action|Thriller
